"","X","SpawnBio_om","Recruit_0_om","F_om","SPRratio_om","SpawnBio_em","Recruit_0_em","F_em","SPRratio_em","scenario","replicate","D","F","species","year","ID","F_re","Recruit_0_re","SpawnBio_re","SPRratio_re"
"104",104,4126430000,130521000,0,0,4184320000,133498000,0,0,"D0-F1-cod",2,"D0","F1","cod",4,"D0-F1-cod-2",NA,0.022808590188552,0.0140290759809327,NA
"105",105,4197170000,89381000,0,0,4184260000,133103000,0,0,"D0-F1-cod",2,"D0","F1","cod",5,"D0-F1-cod-2",NA,0.489164363790962,-0.00307588208245079,NA
"106",106,4350780000,148929000,0,0,4183670000,132706000,0,0,"D0-F1-cod",2,"D0","F1","cod",6,"D0-F1-cod-2",NA,-0.10893110139731,-0.0384092047862682,NA
"107",107,4463620000,72610100,0,0,4182300000,132304000,0,0,"D0-F1-cod",2,"D0","F1","cod",7,"D0-F1-cod-2",NA,0.822115656086412,-0.063025078299676,NA
"108",108,4529480000,69601200,0,0,4179980000,131896000,0,0,"D0-F1-cod",2,"D0","F1","cod",8,"D0-F1-cod-2",NA,0.895024798423016,-0.0771611752342432,NA
"109",109,4549690000,99350600,0,0,4176620000,131479000,0,0,"D0-F1-cod",2,"D0","F1","cod",9,"D0-F1-cod-2",NA,0.323384056060054,-0.0819989933380076,NA
"110",110,4491550000,95044900,0,0,4172180000,131050000,0,0,"D0-F1-cod",2,"D0","F1","cod",10,"D0-F1-cod-2",NA,0.378822009387142,-0.0711046298048558,NA
"111",111,4378650000,51313000,0,0,4166700000,130606000,0,0,"D0-F1-cod",2,"D0","F1","cod",11,"D0-F1-cod-2",NA,1.54528092296299,-0.0484053304100579,NA
"112",112,4240230000,79449600,0,0,4160220000,130164000,0,0,"D0-F1-cod",2,"D0","F1","cod",12,"D0-F1-cod-2",NA,0.63832165297245,-0.0188692594505487,NA
"113",113,4076480000,67875900,0,0,4152810000,129692000,0,0,"D0-F1-cod",2,"D0","F1","cod",13,"D0-F1-cod-2",NA,0.91072236242908,0.0187244877933904,NA
"114",114,3888900000,239084000,0,0,4144540000,129191000,0,0,"D0-F1-cod",2,"D0","F1","cod",14,"D0-F1-cod-2",NA,-0.459641799534891,0.0657358121833938,NA
"115",115,3699450000,126137000,0,0,4135480000,128648000,0,0,"D0-F1-cod",2,"D0","F1","cod",15,"D0-F1-cod-2",NA,0.0199069265956856,0.11786346619092,NA
"116",116,3562210000,174070000,0,0,4125680000,128048000,0,0,"D0-F1-cod",2,"D0","F1","cod",16,"D0-F1-cod-2",NA,-0.264387889929339,0.158179893942244,NA
"117",117,3527640000,245855000,0,0,4115170000,127372000,0,0,"D0-F1-cod",2,"D0","F1","cod",17,"D0-F1-cod-2",NA,-0.481922271257449,0.166550441655044,NA
"118",118,3544920000,175779000,0,0,4103940000,126602000,0,0,"D0-F1-cod",2,"D0","F1","cod",18,"D0-F1-cod-2",NA,-0.279766069894584,0.157696083409499,NA
"119",119,3647250000,164828000,0,0,4091960000,125720000,0,0,"D0-F1-cod",2,"D0","F1","cod",19,"D0-F1-cod-2",NA,-0.237265513140971,0.121930221399685,NA
"120",120,3825410000,117585000,0,0,4079130000,124727000,0,0,"D0-F1-cod",2,"D0","F1","cod",20,"D0-F1-cod-2",NA,0.0607390398435175,0.0663249168063031,NA
"121",121,4019670000,92024700,0,0,4065330000,123579000,0,0,"D0-F1-cod",2,"D0","F1","cod",21,"D0-F1-cod-2",NA,0.342889463372334,0.011359141422057,NA
"122",122,4193500000,142416000,0,0,4050360000,106037000,0,0,"D0-F1-cod",2,"D0","F1","cod",22,"D0-F1-cod-2",NA,-0.255441804291653,-0.0341337784666746,NA
"123",123,4304480000,221783000,0,0,4033990000,213858000,0,0,"D0-F1-cod",2,"D0","F1","cod",23,"D0-F1-cod-2",NA,-0.0357331265245758,-0.0628391815039215,NA
"124",124,4355810000,185118000,0,0,4011120000,179351000,0,0,"D0-F1-cod",2,"D0","F1","cod",24,"D0-F1-cod-2",NA,-0.031153102345531,-0.0791333873607894,NA
"125",125,4403790000,165664000,0,0,4007150000,106138000,0,0,"D0-F1-cod",2,"D0","F1","cod",25,"D0-F1-cod-2",NA,-0.359317655012556,-0.0900678733545423,NA
"126",126,4483020000,63515100,0,0,4062630000,125255000,0,0,"D0-F1-cod",2,"D0","F1","cod",26,"D0-F1-cod-2",NA,0.972050740690009,-0.093773839956101,NA
